Make,Broad.phase.of.flight,Incident Count
Aircoupe,Cruise,1
Aircoupe,Descent,1
Aircoupe,Takeoff,2
Aircraft Mfg & Design LLC,Unknown,1
Aircraft Mfg & Dev. Co.,Unknown,1
Aircraft Mfg & Dev. Co. (AMD),Unknown,1
Aircraft Mfg & Dev. Co. (amd),Cruise,2
Aircraft Mfg & Dev. Co. (amd),Landing,5
Aircraft Mfg & Dev. Co. (amd),Maneuvering,1
Aircraft Mfg & Dev. Co. (amd),Takeoff,2
Aircraft Mfg & Development Co.,Approach,1
Aircraft Parts & Dev. Corp,Approach,1
Aircraft Parts & Dev. Corp,Takeoff,1
Airframes Unlimited,Maneuvering,1
Airframes Unlimited,Unknown,1
Airmass,Climb,1
Airmass,Cruise,1
Airmass,Maneuvering,2
Airmass,Takeoff,2
Airmate,Climb,1
"Airnew, Inc.",Landing,1
Airplane Factory,Unknown,1
Airship Industries,Cruise,2
Airship Industries,Takeoff,1
Akers Douglas,Takeoff,1
Akins,Cruise,1
Akro Tech Aviation Inc. Giles,Climb,1
Al White,Approach,1
Alan Wilson,Cruise,1
Albrecht,Go-around,1
Albrecht,Takeoff,1
Alderfer,Takeoff,1
Aleson,Landing,1
Alexander,Climb,1
Alexander,Descent,1
Alexander,Go-around,1
Alexander,Takeoff,1
Alexander,Unknown,1
Alexander Schleicher,Cruise,1
Alexander Schleicher,Descent,1
Alexander Volksplane,Landing,1
Alfred,Approach,1
Alfred F. Dibernardino,Landing,1
Alfred Stevens,Cruise,1
Alisport,Unknown,1
Alkire,Cruise,1
Allan R. Goldman,Landing,1
Allegro,Landing,1
Allegro,Unknown,1
Allen,Climb,1
Allen,Cruise,1
Allen,Landing,1
Allen,Maneuvering,1
Allen D. Potts,Descent,1
Allen-charles,Landing,1
Allen-wayne Pitts,Approach,1
Allenberg,Climb,1
Allensworth,Cruise,1
Alleva,Maneuvering,1
Alliant,Unknown,1
Allied Ag Cat Productions,Takeoff,1
"Allied Ag Cat Productions, Inc",Maneuvering,3
Allison,Approach,1
Allstar Pzl,Approach,1
Alon,Approach,3
Alon,Climb,3
Alon,Cruise,2
Alon,Descent,2
Alon,Landing,1
Alon,Maneuvering,3
Alon,Takeoff,12
Alon,Taxi,1
Alon,Unknown,3
Alon Aircoupe,Unknown,1
Alson G. Siler,Landing,1
Althouse,Maneuvering,1
Alvin D. Campbell,Maneuvering,1
Alvin R. Kemmet,Landing,1
Amateur Built,Approach,1
Amateur Built,Cruise,3
Amateur Built,Landing,1
Amateur Built,Maneuvering,1
Amato,Landing,1
Amer. Aerolight,Maneuvering,1
American,Approach,6
American,Climb,4
American,Cruise,5
American,Go-around,2
American,Landing,14
American,Maneuvering,7
American,Standing,1
American,Takeoff,17
American,Unknown,5
American Aerolights,Approach,2
American Aerolights,Cruise,1
American Aerolights,Landing,2
American Aerolights,Maneuvering,3
American Aerolights,Takeoff,2
American Air Racing,Takeoff,1
American Aircraft,Approach,1
American Autogyro,Unknown,2
American Aviation,Landing,1
American Aviation,Maneuvering,1
American Aviation,Takeoff,1
American Aviation,Unknown,12
American Aviation Corp. (AAC),Unknown,2
American Aviation Corp. (aac),Approach,2
American Aviation Corp. (aac),Cruise,5
American Aviation Corp. (aac),Descent,3
American Aviation Corp. (aac),Landing,2
American Aviation Corp. (aac),Maneuvering,2
American Aviation Corp. (aac),Takeoff,5
American Aviation Corp. (aac),Unknown,1
American Blimp Corp.,Cruise,1
American Blimp Corp.,Other,1
American Blimp Corp.,Standing,1
American Blimp Corp.,Taxi,1
American Blimp Corp.,Unknown,1
American Blimp Corporation,Taxi,1
American Champion,Landing,3
American Champion,Maneuvering,2
American Champion,Takeoff,1
American Champion,Unknown,5
American Champion (ACAC),Unknown,4
American Champion (acac),Cruise,1
American Champion (acac),Descent,1
American Champion (acac),Landing,15
American Champion (acac),Maneuvering,7
American Champion (acac),Takeoff,4
American Champion (acac),Taxi,1
American Champion Aircraft,Cruise,1
American Champion Aircraft,Landing,1
American Champion Aircraft,Maneuvering,1
American Champion Aircraft,Unknown,5
American Champion Aircraft Cor,Unknown,1
American Eagle,Maneuvering,2
American Eurocopter,Cruise,1
American Eurocopter,Descent,1
American Eurocopter,Maneuvering,2
American Eurocopter,Takeoff,2
American General Aircraft,Approach,6
American General Aircraft,Cruise,5
American General Aircraft,Landing,1
American General Aircraft,Maneuvering,1
American General Aircraft,Standing,1
American General Aircraft,Takeoff,2
American Legand Aircraft,Unknown,1
American Legend,Cruise,1
American Legend,Takeoff,1
American Legend,Unknown,5
American Legend Aircraft Co.,Landing,1
American Legend Aircraft Co.,Unknown,1
American Legend Aircraft Compa,Unknown,1
American Yankee,Cruise,1
Ammeter,Landing,1
Amorde,Landing,1
Ams Flight,Maneuvering,1
Andelin (pitts),Landing,1
Anderson,Approach,1
Anderson,Cruise,1
Anderson,Descent,1
Anderson,Maneuvering,1
Anderson,Other,1
Anderson Aircraft Corp.,Approach,1
Anderson Aircraft Corp.,Cruise,3
Anderson Aircraft Corp.,Landing,1
Anderson Aircraft Corp.,Maneuvering,5
Anderson Aircraft Corp.,Takeoff,1
Anderson Pitts,Maneuvering,1
Anderson Rotorway,Landing,1
"Anderson, Greenwood",Taxi,1
Anderson-tucker,Takeoff,1
Andre,Descent,1
Andre Kostrzewa,Unknown,1
Andrew D. Moore,Approach,1
Andrew McKimmon,Unknown,1
Andrews,Approach,1
Andris,Takeoff,1
Angel,Cruise,1
Angel Aircraft Corporation,Unknown,1
Angel Elbert S Jr,Cruise,1
Anglin,Unknown,1
Ankenbruck,Landing,1
Ankenbruck,Takeoff,1
"Ankerman, Donald L.",Maneuvering,1
Annis,Takeoff,1
Antares,Unknown,1
Antares - Balaban,Unknown,1
Anthony J. Bencivenga,Approach,1
Anthony Mattioli,Unknown,1
Apco,Maneuvering,1
Apex Aircraft,Maneuvering,1
Apollo,Unknown,1
Apollo North America Inc,Maneuvering,1
Appel,Takeoff,2
Applebay,Approach,1
Applebay,Unknown,1
Applebay Sailplanes,Maneuvering,1
Arbaugh Evans,Takeoff,1
Arbc Inc,Approach,1
Archer,Approach,1
Arctic,Approach,1
Arctic Aircraft,Approach,1
Arctic Aircraft Co. Inc.,Approach,1
Arctic Aircraft Company,Landing,1
Arctic Aircraft Company Inc,Climb,1
Arctic Aircraft Corp.,Descent,1
Arctic Aircraft Corp.,Landing,1
Arctic Aircraft Corp.,Maneuvering,1
Ardovino Mariucci,Approach,1
Arganbright,Landing,1
Argence Enas A.,Unknown,1
Argo,Maneuvering,1
Argus Aviation,Approach,1
Arima,Takeoff,1
Arion Aircraft LLC,Unknown,2
Arlington,Maneuvering,1
Armbruster,Cruise,1
Armpriest,Takeoff,1
Arner,Cruise,1
Arnet Pereyra,Takeoff,1
Arnet Pereyra Aero,Takeoff,1
Arnold,Takeoff,1
Arnold Forest,Takeoff,1
Arns,Cruise,1
Aronson,Cruise,1
Arrow Aircraft Co.,Cruise,2
Arrow Aircraft Co.,Takeoff,1
Arrow Falcon Exporters,Maneuvering,1
Arrow Falcon Exporters Inc.,Maneuvering,1
"Arrow Falcon Exporters, Inc.",Unknown,2
"Arrow-Falcon Exporters, Inc.",Unknown,1
Arter,Maneuvering,1
Arthur,Cruise,1
Arthur,Maneuvering,1
Arthur Alan Blind,Takeoff,1
Arthur Chase,Takeoff,1
Arthur Lee Beer,Landing,1
Arthur P. Matthews,Landing,1
Artic Aircraft Corp.,Approach,1
Artic Aircraft Corp.,Climb,1
Artic Aircraft Corp.,Landing,2
Artic Aircraft Corp.,Maneuvering,3
Artic Aircraft Corp.,Takeoff,7
Artic Aircraft Corp.,Taxi,1
Artic Aircraft Corp.,Unknown,2
As+ (russia),Descent,1
As+ Ltd,Approach,2
As+ Ltd,Takeoff,1
As+ Ltd.,Maneuvering,1
Ascher,Takeoff,1
Ashcraft,Unknown,1
Asher,Takeoff,1
Asmus,Cruise,1
Aspen,Landing,1
Asselyn,Cruise,1
Asselyn,Takeoff,1
Asta,Unknown,1
Astar,Unknown,1
Atkins,Cruise,1
Atkinson,Approach,1
Atkinson,Cruise,1
Atr,Approach,1
Atr,Cruise,1
Atr,Descent,2
Atr,Landing,2
Atr,Maneuvering,1
Atr,Takeoff,3
Atr,Taxi,3
Atr,Unknown,3
Attebery-stainbrook,Cruise,1
Aubrey,Takeoff,1
Audenried,Unknown,1
Augusta,Approach,1
AugustaWestland,Unknown,1
Aune,Takeoff,1
Aurandt,Cruise,1
Auseth,Landing,1
Auster,Cruise,1
Auster,Landing,1
Austin,Maneuvering,3
Australite,Approach,1
AutoGyro,Unknown,3
AutoGyro GmbH,Unknown,1
Autogyro,Unknown,3
Auton - Dunham,Approach,1
Autra,Takeoff,1
Auxier Herschel A Jr.,Takeoff,1
Avery,Maneuvering,1
Averyt,Cruise,1
Avia Stroitel,Maneuvering,1
Avia Stroitel,Takeoff,2
Avian,Approach,1
Avian,Cruise,1
Avian,Descent,1
Avian,Landing,3
Avian Balloon,Approach,1
Avian Balloon,Climb,1
Avian Balloon,Landing,5
Avian Balloon,Takeoff,1
Aviastroitel,Unknown,1
Aviastrottel,Takeoff,1
Aviat,Approach,6
Aviat,Cruise,4
Aviat,Go-around,2
Aviat,Landing,59
Aviat,Maneuvering,16
Aviat,Takeoff,8
Aviat,Taxi,3
Aviat,Unknown,14
Aviat Aircraft Inc,Cruise,1
Aviat Aircraft Inc,Unknown,4
Aviat Aircraft Inc.,Takeoff,1
Aviat Aircraft Inc.,Unknown,1
"Aviat Aircraft, Inc.",Unknown,1
Aviat Inc,Landing,1
Aviat Inc,Takeoff,1
Aviation Adv.,Approach,1
Aviation International Rotors,Maneuvering,1
Aviation International Rotors,Takeoff,1
Aviation Specialties Unlimited,Maneuvering,1
Avid,Maneuvering,1
Avid,Unknown,5
Avid Aircraft,Approach,1
Avid Aircraft,Climb,2
Avid Aircraft,Cruise,1
Avid Aircraft,Takeoff,4
Avid Aircraft,Unknown,2
Avid Flyer Inc.,Cruise,1
Aviocar CASA,Unknown,1
Avions Fairey,Cruise,1
Avions Marcel Dassault,Climb,1
Avions Max Holste,Landing,1
Avions Max Holste,Takeoff,2
Avions Mudry,Approach,1
Avions Mudry,Maneuvering,1
Avions Mudry Et Cie,Maneuvering,2
Avions Mudry Et Cie,Takeoff,1
Avions Robin,Maneuvering,1
Avres Corp.,Maneuvering,1
"Axell, Charles",Maneuvering,1
Ayers,Takeoff,1
Ayres,Approach,3
Ayres,Climb,6
Ayres,Cruise,26
Ayres,Descent,3
Ayres,Landing,15
Ayres,Maneuvering,93
Ayres,Standing,1
Ayres,Takeoff,45
Ayres,Taxi,2
Ayres,Unknown,21
Ayres Corporation,Cruise,1
Ayres Corporation,Maneuvering,3
Ayres Corporation,Unknown,3
B??lkow,Approach,1
