Make,Broad.phase.of.flight,Incident Count
Raven,Landing,46
Raven,Maneuvering,2
Raven,Other,1
Raven,Standing,3
Raven,Takeoff,4
Raven Industries,Approach,1
Raven Industries,Descent,1
Raven Industries,Takeoff,1
Rawdon,Cruise,1
Rawdon Bros. Aircraft,Cruise,1
Rawdon Bros. Aircraft,Takeoff,1
Ray Aerial Spraying,Unknown,1
Ray Edmistonn,Maneuvering,1
Rayan,Takeoff,1
Raymond,Approach,1
Raymond Bristow,Cruise,1
Raymond C. Voegele,Takeoff,1
Rayne,Takeoff,1
Raytheon,Approach,3
Raytheon,Cruise,2
Raytheon,Descent,2
Raytheon,Go-around,1
Raytheon,Landing,3
Raytheon,Standing,1
Raytheon,Unknown,5
Raytheon Aircraft Company,Approach,2
Raytheon Aircraft Company,Cruise,2
Raytheon Aircraft Company,Descent,3
Raytheon Aircraft Company,Landing,1
Raytheon Aircraft Company,Takeoff,2
Raytheon Aircraft Company,Unknown,7
Raytheon Co,Approach,1
Raytheon Corporate Jets,Cruise,3
Raytheon Corporate Jets,Descent,1
Raytheon Corporate Jets,Landing,2
Raytheon Corporate Jets,Standing,1
Raytheon Corporate Jets,Takeoff,1
Raytheon Corporate Jets,Taxi,1
Raytheon Corporate Jets,Unknown,7
Raz-mut,Takeoff,1
Read,Maneuvering,1
Reamer,Unknown,1
Rearwin,Cruise,1
Rearwin,Takeoff,1
Reay,Maneuvering,1
Rebholz,Takeoff,1
Redding David,Unknown,1
Reder,Maneuvering,1
Redgate,Unknown,1
Redsell,Maneuvering,1
Reed,Cruise,1
Reed,Landing,1
Reed,Takeoff,1
Reed Mike,Unknown,1
Reed-madsen,Takeoff,1
Reeves,Unknown,1
"Reher, Kent O.",Descent,1
Rehler,Approach,1
Reichel,Approach,1
Reicher,Takeoff,1
Reichert,Approach,1
Reid,Approach,1
Reid,Go-around,1
Reif,Takeoff,1
Reiffer,Landing,1
Reiley,Climb,1
Reilly,Approach,1
Reims,Unknown,5
Reims Aviation,Approach,1
Reims Aviation,Cruise,1
Reims Aviation,Landing,1
Reims Aviation,Maneuvering,1
Reims Aviation,Unknown,5
Reims Aviation Cessna,Unknown,1
Reims-Cessna,Unknown,1
Reindl,Cruise,1
Reindl,Takeoff,1
Reinhart,Landing,1
Reinhold,Cruise,1
Reisinger,Takeoff,1
Reitz,Takeoff,1
Remos,Unknown,3
Remos Aircraft GMBH,Unknown,1
Remos Aircraft GMBH Flugzeugba,Unknown,1
Remos Aircraft GmbH,Unknown,1
Remote Sensing,Approach,1
Render,Descent,1
Renninger,Takeoff,1
Renquist,Takeoff,1
Replica,Climb,1
Repliea 78 Ral,Climb,1
Republic,Approach,2
Republic,Climb,1
Republic,Cruise,8
Republic,Landing,6
Republic,Takeoff,8
Republic,Taxi,2
Republic,Unknown,1
Resney,Takeoff,1
Rettberg,Climb,1
Revell,Taxi,1
Reviere,Maneuvering,1
Revolution,Cruise,1
Revolution,Takeoff,1
Revolution Helicopter,Cruise,1
Rey,Cruise,1
Reynolds,Maneuvering,1
Rhea,Cruise,1
Rhoades,Approach,1
Rhoades,Cruise,1
Rhoads,Unknown,1
"Rhoads, Larry E",Unknown,1
Ricardo Lopez,Takeoff,1
Rich,Approach,1
Rich,Maneuvering,2
Rich,Takeoff,1
Rich,Unknown,1
Richard A. Brown,Takeoff,1
Richard A. Denisar,Takeoff,1
Richard A. White,Cruise,1
Richard C. Ballow,Landing,1
Richard Cheney,Takeoff,1
Richard E. Rowland,Landing,1
Richard F. Sheldon,Takeoff,1
Richard N. Burns,Takeoff,1
Richard O. Middlen,Cruise,1
Richard Rank,Unknown,1
Richard Riley,Maneuvering,1
Richard S. Anderson,Maneuvering,1
Richard Shaffer,Takeoff,1
Richard Young,Approach,1
Richards,Maneuvering,1
Richards Lancair,Cruise,1
Richardson,Landing,1
Richardson,Maneuvering,1
Riches,Landing,1
Richmond,Cruise,1
Rick Campbell,Unknown,1
Riddell,Climb,1
Riddell (lancair),Approach,1
Rider,Landing,1
Rider-charles,Approach,1
Ridgway,Cruise,1
Riekkenen,Maneuvering,1
Riesland,Approach,1
Rietman,Maneuvering,1
Riggs,Approach,1
Riley,Takeoff,1
"Riley, Donald",Cruise,1
Ringsdorf-mcconnell,Maneuvering,1
Rittal,Landing,1
Ritter,Unknown,1
Ritz,Maneuvering,1
Rjb Aviation,Landing,1
Robbins,Landing,1
Robbins,Maneuvering,1
Robbins,Takeoff,1
Robbins,Taxi,1
Robert B. Boston,Climb,1
Robert Bressler,Maneuvering,1
Robert C. Campbell,Landing,1
Robert D Carr Jr,Unknown,1
Robert D. Campbell,Maneuvering,1
Robert D. Waldron,Landing,1
Robert D. Wood,Climb,1
Robert E. Bean,Approach,1
Robert Eckley,Standing,1
Robert Eggebrecht,Takeoff,1
Robert Eldon Idler,Climb,1
Robert Frisbey,Unknown,1
Robert Griffiths,Takeoff,1
Robert H. Low,Takeoff,1
Robert J. Goodyear,Go-around,1
Robert J. Jackson,Landing,1
Robert J. Labonte,Landing,1
Robert Judd,Descent,1
Robert L. Kennedy,Approach,1
Robert L. Rice,Maneuvering,1
Robert Mcdonnell,Takeoff,1
Robert N. Gilmore,Takeoff,1
Robert O. Ely,Takeoff,1
Robert R. Callahan,Descent,1
Robert R. Reiland,Unknown,1
Robert Thibodeau,Takeoff,1
Robert Van Scoyoc,Climb,1
Robert W. Ferrell,Maneuvering,1
Robert Wood,Unknown,1
Roberto P. Garcia,Unknown,1
Roberts,Approach,1
Robertson,Approach,1
Robertson,Landing,1
Robertson,Maneuvering,2
Robertson,Takeoff,3
Robin,Unknown,2
"Robin, Avions Pierre",Descent,1
Robinette,Takeoff,1
Robinson,Approach,53
Robinson,Climb,9
Robinson,Cruise,102
Robinson,Descent,26
Robinson,Go-around,6
Robinson,Landing,181
Robinson,Maneuvering,237
Robinson,Other,2
Robinson,Standing,22
Robinson,Takeoff,81
Robinson,Taxi,11
Robinson,Unknown,216
Robinson Helicopter,Climb,1
Robinson Helicopter,Cruise,3
Robinson Helicopter,Landing,1
Robinson Helicopter,Takeoff,1
Robinson Helicopter,Unknown,3
Robinson Helicopter Co.,Landing,1
Robinson Helicopter Company,Approach,1
Robinson Helicopter Company,Climb,1
Robinson Helicopter Company,Descent,2
Robinson Helicopter Company,Landing,1
Robinson Helicopter Company,Maneuvering,1
Robinson Helicopter Company,Unknown,9
Robinson Helicopters,Unknown,1
Robl,Maneuvering,1
Rochette,Landing,1
Rocket Flyers,Approach,1
Rocket Flyers,Descent,1
Rockwell,Approach,28
Rockwell,Climb,15
Rockwell,Cruise,45
Rockwell,Descent,12
Rockwell,Go-around,3
Rockwell,Landing,41
Rockwell,Maneuvering,90
Rockwell,Other,1
Rockwell,Standing,3
Rockwell,Takeoff,63
Rockwell,Taxi,5
Rockwell,Unknown,25
Rockwell Comdr,Takeoff,1
Rockwell Commander,Cruise,2
Rockwell Commander,Unknown,1
Rockwell Int't,Landing,1
Rockwell International,Cruise,4
Rockwell International,Descent,1
Rockwell International,Landing,3
Rockwell International,Maneuvering,8
Rockwell International,Takeoff,2
Rockwell International,Unknown,4
Rockwell Intl,Landing,1
Rockwell Intl,Maneuvering,1
Rockwell Intl.,Maneuvering,2
Rocky Mountain,Takeoff,1
Roddie,Maneuvering,1
Rodgers,Cruise,1
Rodgers,Maneuvering,1
Rodgers,Takeoff,1
Rodgers/gaust,Cruise,1
Roe-wayne,Approach,1
Roe/pietenpol,Landing,1
Roebuck,Takeoff,1
Roger A Dalke,Cruise,1
Roger A Hansen,Landing,1
Roger G White,Unknown,1
Roger Mann,Maneuvering,1
Roger Nelson,Landing,1
Roger W. Stigen,Approach,1
Roger Warnell,Approach,1
Rogers,Approach,1
Rogers,Cruise,1
Rogers,Takeoff,2
Rogers,Unknown,1
Rogers-gibson,Maneuvering,1
Rogerson Hiller Corp.,Landing,1
Roggio,Approach,1
Rohdecap/thorp,Landing,1
Roisum Team,Cruise,1
Rolando,Takeoff,1
Rolladen Schneider,Unknown,1
Rolladen-schneider,Approach,4
Rolladen-schneider,Cruise,6
Rolladen-schneider,Landing,9
Rolladen-schneider,Maneuvering,12
Rolladen-schneider,Other,1
Rolladen-schneider,Takeoff,4
Rolladen-schneider,Unknown,1
Rolladen-schneider Gmbh,Approach,1
Rollins,Takeoff,1
Rollins-bowers,Takeoff,1
Roman,Maneuvering,1
Romeo,Takeoff,1
Romero,Cruise,1
Romig,Takeoff,1
Rominger,Approach,1
Rominger,Takeoff,1
Ron Burleigh,Cruise,1
Ronald C. Render,Landing,1
Ronald D. Cothern,Takeoff,1
Ronald D. Murray,Landing,1
Ronald Houk,Cruise,1
Ronald Levee,Landing,1
Ronald R Russell,Takeoff,1
Ronald V White,Unknown,1
Ronneberg/murphy,Maneuvering,1
Ronnie Baker,Taxi,1
Ronsrans,Takeoff,1
Roof,Unknown,1
Root,Approach,1
Root,Landing,1
Root,Takeoff,1
"Root, Arthur T.",Landing,1
Rose,Cruise,1
Rose,Landing,3
Rose,Takeoff,4
Rose Rhinehart,Maneuvering,1
Rose Wesley,Takeoff,1
Rose-Rhinehart,Unknown,1
Rosen,Landing,1
Rosenbarger,Takeoff,1
Rosenbaum,Approach,1
Rosenmayer,Cruise,1
Rosenvall,Landing,1
Rosner,Landing,1
Ross,Landing,1
Ross,Maneuvering,1
Ross,Takeoff,1
Ross/stonecipher,Descent,1
Ross/stonecipher,Go-around,1
Rossi Pitts,Landing,1
Rotary,Unknown,1
Rotary Air Force Marketing,Landing,1
Rotec,Approach,1
Rotec,Cruise,4
Rotec,Landing,1
Rotec,Maneuvering,3
Rotec,Takeoff,5
Rotec,Taxi,1
"Rotec Engineering, Inc.",Cruise,2
"Rotec Engineering, Inc.",Landing,2
"Rotec Engineering, Inc.",Takeoff,3
Rotec/botsford,Approach,1
Rotherwick,Unknown,1
Rotherwick HR,Unknown,1
Rothrock,Landing,1
Rotor Flight Dynamics,Cruise,1
"Rotor Flight Dynamics, Inc.",Takeoff,1
Rotorcraft Development Corp,Unknown,1
Rotorcraft Development Corpora,Unknown,1
Rotordyne,Maneuvering,1
Rotorsport UK,Unknown,1
Rotorsport UK Ltd,Unknown,1
Rotorway,Approach,7
Rotorway,Cruise,11
Rotorway,Descent,2
Rotorway,Landing,7
Rotorway,Maneuvering,16
Rotorway,Other,1
Rotorway,Takeoff,4
Rotorway,Taxi,2
Rotorway,Unknown,6
"Rotorway Aircraft, Inc.",Takeoff,1
Rotorway Executive,Unknown,1
Rotoway International,Unknown,1
Rotz,Takeoff,1
Rouse,Unknown,1
Rowe,Climb,1
Rowley,Maneuvering,1
Roy,Cruise,1
Roy Rey,Cruise,1
Royse,Landing,1
Rozendaal,Maneuvering,1
Rudolph,Landing,1
Rudolph Zeller,Approach,1
Rudy,Cruise,1
Ruehle,Landing,1
Rufli,Takeoff,1
Rumble/williams/boomhower,Takeoff,1
Ruminski,Landing,1
Rupe,Cruise,1
Rupp,Landing,1
Ruppercht,Cruise,1
Ruschke,Takeoff,1
Rushton,Taxi,1
Rusk,Unknown,1
Russell,Approach,1
Russell,Landing,3
Russell,Standing,1
Russell Heyn,Takeoff,1
Russell Post,Maneuvering,1
Russell St. Arnold,Takeoff,1
Russman,Cruise,1
Rutan,Approach,1
Rutan,Climb,1
Rutan,Cruise,3
Rutan,Landing,4
Rutan,Standing,1
Rutan,Takeoff,2
Rutan,Unknown,4
Rutan Aircraft Factory,Maneuvering,1
Rutgers,Maneuvering,1
Rutherford,Descent,1
Rutledge,Takeoff,1
Rutter,Takeoff,1
Ryan,Approach,7
Ryan,Climb,7
Ryan,Cruise,24
Ryan,Descent,4
Ryan,Go-around,1
Ryan,Landing,9
Ryan,Maneuvering,8
Ryan,Takeoff,29
Ryan,Taxi,2
Ryan,Unknown,3
Ryan Aeronautical,Cruise,1
Ryan Aeronautical,Maneuvering,1
Ryan Aeronautical,Takeoff,1
Ryan Aeronautics,Approach,1
"Ryan, Robert R.",Unknown,1
Ryan-navion,Cruise,1
Ryan-navion,Takeoff,2
Rygg,Maneuvering,1
Ryskamp,Approach,1
S C AEROSTAR S .A.,Unknown,1
S C AEROSTAR S A,Unknown,2
S C Aerostar S A,Approach,1
S D MARTIN,Unknown,1
S M & T Aircraft,Unknown,1
S M A N,Maneuvering,1
"S. Fl. Ultralights, Inc.",Cruise,1
S. Piccolotto/dave Morss,Takeoff,1
S.A.N.,Unknown,1
S.C. Aerostar S.A.,Unknown,2
S.N.I.A.S.,Unknown,2
S.O.C.A.T.A.,Unknown,3
S.Z.D.,Unknown,1
S.a. Centrair,Cruise,1
S.i. Briggs,Maneuvering,1
S.n.i.a.s,Landing,1
S.n.i.a.s.,Approach,1
S.n.i.a.s.,Climb,1
S.n.i.a.s.,Cruise,2
S.n.i.a.s.,Landing,1
S.n.i.a.s.,Standing,1
S.n.i.a.s.,Takeoff,1
SA300,Unknown,1
SAAB,Unknown,16
SAAB-SCANIA,Unknown,1
SAAB-SCANIA AB,Unknown,1
SABRE,Unknown,2
SABRENA,Unknown,1
SACCIO THOMAS A,Unknown,1
SACHSE STEPHAN,Unknown,1
SACKMAN,Unknown,1
SACREY W MICHAEL,Unknown,1
SADLER TERRY,Unknown,1
SADLER TERRY A,Unknown,1
SAFARI,Unknown,1
SALERNO KENNETH G JR,Unknown,1
SAM R PEACHEY,Unknown,1
SANDERS BEN G III,Unknown,1
SANDERSON HERBERT H,Unknown,1
SANDS,Unknown,1
SANDS THOMAS E,Unknown,1
SANFORD,Unknown,1
SANTA FE AIRCRAFT LLC,Unknown,1
SANTANA,Unknown,1
SANTSCHI CHRIS A,Unknown,1
SAPP LARRY E,Unknown,1
SASSER ALLEN L,Unknown,1
SAUER,Unknown,1
SAVAGE AIR LLC,Unknown,1
SAWBY SCOTT,Unknown,1
SC AEROSTAR SA,Unknown,1
SC IAR SA Brasov,Unknown,1
SCALED COMPOSITES,Unknown,1
SCHABACKER KONRAD J,Unknown,1
SCHAFER,Unknown,1
SCHAFER RICK W,Unknown,1
SCHAFFER,Unknown,1
SCHAFFER GARY W,Unknown,1
SCHAUER WILLIAM A JR,Unknown,1
SCHEEL STANLEY K,Unknown,1
SCHEINEMAN-VAN BUREN,Unknown,1
SCHEMPP HIRTH,Unknown,4
SCHEMPP HIRTH FLUGZEUGBAU GMBH,Unknown,1
SCHEMPP-HIRTH,Unknown,17
SCHEMPP-HIRTH FLUGZEUGBAU,Unknown,2
SCHEMPP-HIRTH FLUGZEUGBAU GMBH,Unknown,1
SCHEMPP-HIRTH K G,Unknown,1
SCHLEICHER,Unknown,45
SCHLEICHER ALEXANDER,Unknown,1
SCHLEICHER ALEXANDER GMBH & CO,Unknown,2
SCHLICHTMAN,Unknown,1
SCHMIDT ALBERT D,Unknown,1
SCHMIDT DONALD L,Unknown,1
SCHMIDT RANDALL M,Unknown,1
SCHMITT,Unknown,1
SCHNEIDER,Unknown,1
SCHNEIDER JOHN W,Unknown,1
SCHNEIDER K/COOK C,Unknown,1
SCHNEIDER RICHARD J,Unknown,1
SCHOEPFLIN,Unknown,1
SCHOONOVER JOHN D,Unknown,1
SCHOSANSKI JOHN H,Unknown,1
SCHRIEBER ROBERT L,Unknown,1
SCHRODER DAVID,Unknown,1
SCHUMACHER,Unknown,2
SCHUPP EDWARD W,Unknown,1
SCHWEIZER,Unknown,144
SCHWEIZER AIRCRAFT CORP,Unknown,18
SCHWEIZER(HUGHES),Unknown,1
SCHWEIZER(HUGHES)AIRCRAFT CORP,Unknown,2
SCODA AERONAUTICA LTDA,Unknown,1
SCODA AERONAUTICAL,Unknown,1
SCOTT,Unknown,1
SCOTT MILLS,Unknown,1
SCOTT TAYLOR,Unknown,1
SCOTT TERRY G,Unknown,1
SCOTT VALDEZ,Unknown,1
SCOTTISH AVIATION,Unknown,3
SEA & SKY INC,Unknown,2
SEA & SKY INC DBA KRUCKER ACFT,Unknown,1
SEABOURN SCOTT R,Unknown,1
SEACE DAVID A,Unknown,1
SEAMAX AIRCRAFT,Unknown,1
SEELA GERALD L,Unknown,1
SEGARRA LUCAS JR,Unknown,1
SEIBERT ROBERT M,Unknown,1
SENO LOUIS C SR,Unknown,1
SEWELL WILLIAM K,Unknown,1
SEYMOUR,Unknown,1
SEYMOUR ROBERT M,Unknown,1
SHAFFER DONALD,Unknown,1
SHAFFER WILLIAM C,Unknown,1
SHANKS V ROGER,Unknown,1
SHANNON JAMES A JR,Unknown,1
SHANNON KEVIN,Unknown,1
SHANNON WILLIAM,Unknown,1
SHARP RALPH R,Unknown,1
SHARPE WILLIAM L,Unknown,1
SHAW DOUGLAS WAYNE,Unknown,1
SHEA,Unknown,1
SHEAHEN DANE E,Unknown,1
SHELDRICK JOHN H,Unknown,1
SHELL JOHN,Unknown,1
SHELTON JOSEPH G,Unknown,1
SHEPARD JIMMY D JR,Unknown,1
SHERMAN CRAIG W,Unknown,1
SHILT JERRY C,Unknown,1
SHINER,Unknown,1
SHIREY DAVID A,Unknown,1
SHIRLEY CARL,Unknown,1
SHIVER,Unknown,1
SHNIDERMAN ERVIN STANLEY,Unknown,1
SHOEMAKER JAMES B,Unknown,1
SHOREY TIMOTHY A,Unknown,1
SHORT,Unknown,1
SHORT BROS,Unknown,7
SHORT BROS. & HARLAND,Unknown,5
SHORT BROTHERS & HARLAND LTD.,Unknown,1
SHORT BROTHERS PLC,Unknown,1
SHOUP RONALD R,Unknown,1
SHPAKOW THOMAS,Unknown,1
SHULTZ JEFFREY D,Unknown,1
SIAI MARCHETTI,Unknown,3
SIAI-MARCHETTI,Unknown,10
SIAI-Marchetti,Unknown,1
SIBILA,Unknown,1
SIBLEY,Unknown,1
SIDLER MIKE,Unknown,1
SIEBER PAUL P,Unknown,1
SIEGEL GERALD,Unknown,1
SIEMENS,Unknown,1
SIEMER JAMES H,Unknown,1
SIERRA,Unknown,1
SIGMON HARVEY E,Unknown,1
SIKES,Unknown,1
SIKORSKY,Unknown,77
SIKORSKY AIRCRAFT CORP,Unknown,1
SIKORSKY AIRCRAFT CORPORATION,Unknown,1
SILER RONALD E,Unknown,1
SILFVAST,Unknown,1
SILVAIRE,Unknown,14
SILVERLIGHT AVIATION LLC,Unknown,2
SIMMONS GARY F,Unknown,1
SIMMONS NOEL,Unknown,1
SIMMONS WILLIAM E,Unknown,1
SIMPSON,Unknown,1
SIX CHUTER,Unknown,3
SIX CHUTER INC,Unknown,1
SIX CHUTER WEST LLC,Unknown,1
SIX CHUTTER,Unknown,1
SIX-CHUTER,Unknown,1
SKAGGS RONNIE LYNN,Unknown,1
SKEETER,Unknown,1
SKILES KENNETH C,Unknown,1
SKISTMAS GEORGE,Unknown,1
SKWIRA MATTHEW J,Unknown,1
SKYBolt,Unknown,1
SKYKITS,Unknown,1
SKYKITS CORP,Unknown,3
SKYKITS USA CORP,Unknown,2
SKYRAIDER,Unknown,1
SKYRUNNER,Unknown,1
SKYSTAR,Unknown,1
SKYTRAILS LSA,Unknown,1
SLAUGHTER MIKE,Unknown,1
SLINGSBY,Unknown,2
SLIP STREAM,Unknown,1
SLIPSTREAM,Unknown,1
SLOAN ROGER D,Unknown,1
SMILEY JAMES E,Unknown,1
SMITH,Unknown,20
SMITH ALBERT F,Unknown,1
SMITH ALLEN,Unknown,1
SMITH BRET B,Unknown,1
SMITH Capella,Unknown,1
SMITH DENNIS P,Unknown,1
SMITH EDWARD I,Unknown,1
SMITH MINIPLANE,Unknown,3
SMITH RICHARD D JR,Unknown,1
SMITH VILAS,Unknown,1
SMITHWICK/TREIDEL,Unknown,1
SMYSOR KEVIN,Unknown,1
SMYTHE DONALD F,Unknown,1
SNOW,Unknown,1
SNYDER TODD W,Unknown,1
SOCATA,Unknown,63
SOFTEX INVEST LLC,Unknown,1
SOKO,Unknown,1
SOLO WINGS,Unknown,3
SOMERTON DAVID J,Unknown,1
SONEX,Unknown,3
SONEX AIRCRAFT,Unknown,3
SONEX LIMITED,Unknown,1
SONTONASTASO,Unknown,1
SORENSEN,Unknown,1
SORENSEN DANNY,Unknown,1
SORENSEN DANNY S,Unknown,1
SORENSON,Unknown,1
SOUTHERLAND,Unknown,1
SOUTHERN AIRMOTIVE CORP.,Unknown,1
SPANGENBERG,Unknown,1
SPANI WAYNE M,Unknown,1
SPARKS RALPH A,Unknown,1
SPAULDING ERROL,Unknown,1
SPAUR CHARLES,Unknown,1
SPECTRUM,Unknown,1
SPERLING RICHARD G,Unknown,1
SPINK ROBERT M,Unknown,1
SPORT PLANE DYNAMICS LLC,Unknown,2
SPORTAVIA PUTZER,Unknown,1
SPORTFLIGHT INTERNATIONAL LLC,Unknown,1
SPORTINE AVIACIJA,Unknown,3
SPROUL KEITH A,Unknown,1
SQUEGLIA R/WHEELER W,Unknown,1
ST CLAIR,Unknown,1
ST CLAIR DAVID L,Unknown,1
STAFFORD WAYNE H,Unknown,1
STAMPER,Unknown,1
STANLEY,Unknown,1
STANLEY ARTHUR FREEMAN,Unknown,1
STANLEY B E,Unknown,1
STANLEY ERNIE SIGURD,Unknown,1
STANTON,Unknown,1
STARDUSTER II,Unknown,1
STAUDACHER AIRCRAFT INC,Unknown,1
STAUDACHER HYDROPLANES,Unknown,1
STAUDACHER JON,Unknown,1
STEARMAN,Unknown,4
STEARMAN AIRCRAFT,Unknown,5
STEELE,Unknown,1
STEELE  JOHN J,Unknown,1
STEELE RALPH BRUCE,Unknown,1
STEELE SAMUEL D,Unknown,1
STEEN,Unknown,3
STEINMAN MARK E,Unknown,1
STEMME,Unknown,1
STEMME GMBH & CO,Unknown,4
STEPHEN J HOFFMAN,Unknown,1
STEPHEN L KRUER,Unknown,1
STEPHENS WILLIAM E,Unknown,1
STEPHENSON,Unknown,2
STEPPLING,Unknown,1
STETSON NORMAN B,Unknown,1
STEVEN BORNSTEIN/THOMAS WHITTA,Unknown,1
STEVEN R MCNEESE,Unknown,1
STEVENS R P/MCCRIGHT D W,Unknown,1
STEWART MW/STEWART JD,Unknown,1
STICK & RAG FLYING CLUB,Unknown,1
STIEGELMEYER JOHN R,Unknown,1
STILL MICHAEL J,Unknown,1
STINSON,Unknown,91
STIRLING,Unknown,1
STITS FLUT-R-BUG,Unknown,1
STODDARD HAMILTON,Unknown,1
STOL,Unknown,2
STOL Aircraft Corp,Unknown,1
STOL LLC,Unknown,1
STOLP STARDUSTER,Unknown,2
STONE,Unknown,1
STONE JAMES R,Unknown,1
STORCH,Unknown,1
STORCH AVIATION AUSTRALIA PTY,Unknown,1
STORY CHARLES BRAD,Unknown,1
STOUT GARRY V,Unknown,1
STRIBLING,Unknown,1
STRIBLING JAMES L,Unknown,1
STRONG,Unknown,1
STROPKI PAUL,Unknown,1
STROUP ROBERT,Unknown,1
STROUT FRANK,Unknown,1
STUART,Unknown,1
STUCKER GARY,Unknown,1
STUCKER VIRGIL A,Unknown,1
STUCKY STEVEN D,Unknown,1
STUHLMILLER ROBERT,Unknown,1
STUMP GREAT LAKES,Unknown,1
STUTESMAN CHARLES LEE,Unknown,1
SUD AVIATION,Unknown,1
SUD AVIATION/EUROCOPTER,Unknown,1
"SUI RY, LAURINEN JANNE, KÄÄRIÄ",Unknown,1
SUKHOI,Unknown,6
SUMINSKI WALTER M,Unknown,1
SUMMIT,Unknown,1
SUNDT DANIEL N,Unknown,1
SUNGKWON KIM,Unknown,1
SUPER 18 LLC,Unknown,1
SUPERIOR,Unknown,1
SUPERMARINE,Unknown,1
SUPINSKI MARK R,Unknown,1
SUTPHIN,Unknown,1
SUTPHIN JOHN E,Unknown,1
SUTTON,Unknown,1
SUTTON WILLIAM J,Unknown,1
SWALLEY MARK H,Unknown,1
SWANN LYNN J,Unknown,1
SWANSON,Unknown,2
SWARTZ GENE,Unknown,1
SWEARINGEN,Unknown,29
SWEDENER,Unknown,1
SWEENEY TIMOTHY J,Unknown,1
SWEET WAYNE A,Unknown,1
SWEZEY T/MOLNAR D,Unknown,1
SYMPHONY AIRCRAFT IND INC,Unknown,1
SYRACUSE V F/SYRACUSE C D,Unknown,1
Saab,Approach,1
Saab,Cruise,1
Saab,Landing,1
Saab,Standing,1
Saab,Unknown,2
Saab-Scania AB (Saab),Unknown,1
Saab-fairchild,Approach,1
Saab-fairchild,Descent,1
Saab-fairchild,Landing,2
Saab-fairchild,Takeoff,1
Saab-fairchild,Unknown,1
Saab-scania,Approach,1
Saab-scania,Descent,1
Saab-scania Ab (saab),Approach,1
Saab-scania Ab (saab),Climb,3
Saab-scania Ab (saab),Cruise,6
Saab-scania Ab (saab),Descent,3
Saab-scania Ab (saab),Landing,2
Saab-scania Ab (saab),Standing,11
Saab-scania Ab (saab),Takeoff,6
Saab-scania Ab (saab),Taxi,4
Saab-scania Ab (saab),Unknown,7
Saabye,Landing,1
Sabelino,Landing,1
Saber   Trike,Unknown,1
Saberwing,Unknown,1
Sabian,Descent,1
Sabre,Unknown,1
Sabre Trike,Taxi,1
Sabreliner Corp.,Landing,2
Sabreliner Corp.,Takeoff,1
Sabreliner Corp.,Taxi,1
Sabreliner Corp.,Unknown,1
Sackett,Landing,1
Sadler,Climb,1
Sadler,Unknown,1
Sagerser,Climb,1
Saint Louis,Landing,1
Saladino,Approach,1
Saldairiaga,Maneuvering,1
Saliba,Cruise,1
Salmon,Takeoff,1
Saloff,Takeoff,1
Sam Hale,Descent,1
Sam R. Crowell,Maneuvering,1
Samson,Cruise,1
Samual G. Dasilva,Cruise,1
Samuel R. Hoskins,Cruise,1
San Joaquin Helicopters,Maneuvering,1
Sanclemente,Maneuvering,1
Sandall Evan R,Landing,1
Sandell,Approach,1
Sanders,Landing,1
Sanders,Maneuvering,1
Sanderson,Unknown,1
Sandridge,Maneuvering,1
Sargent,Go-around,1
Sargent Jonathan,Approach,1
Sater,Unknown,1
Satterlee,Climb,1
Sattler,Takeoff,1
Sauder,Cruise,1
Saumure,Maneuvering,1
Saunders,Cruise,1
Savage,Landing,1
Savage,Takeoff,1
Savage,Unknown,2
Saville Hummer,Cruise,1
Sawyer,Cruise,1
Sawyer,Maneuvering,1
"Sayer, Trevor A.",Maneuvering,1
Scaled Composites,Maneuvering,1
Scan,Cruise,1
Scandinavian Aero Industry,Approach,1
Scarboro,Takeoff,1
Schaefer,Unknown,1
Schafer,Landing,1
Schaffer-provencher,Landing,1
Schaknowski,Landing,1
Scharnhorst,Cruise,1
Scharschmidt,Takeoff,1
Scheibe,Landing,1
Scheibe,Maneuvering,1
Scheibe Flugzeugbau,Approach,1
Scheibe Flugzeugbau,Landing,2
Scheibe Flugzeugbau,Takeoff,3
Scheicher,Maneuvering,1
Schell,Maneuvering,1
Schempp Hirth,Unknown,6
Schempp-Hirth,Unknown,3
Schempp-hirth,Approach,17
Schempp-hirth,Cruise,8
Schempp-hirth,Descent,6
Schempp-hirth,Go-around,1
Schempp-hirth,Landing,9
Schempp-hirth,Maneuvering,18
Schempp-hirth,Takeoff,12
Schempp-hirth K.g.,Landing,1
Schendl,Unknown,1
Schenfield,Landing,1
Scheperle,Cruise,1
Scherer,Takeoff,1
Schewizer,Approach,1
Schicora,Takeoff,1
Schifferer,Takeoff,1
Schilleci,Approach,1
Schippers,Cruise,1
Schlagenhauf,Cruise,1
Schlappi,Approach,1
Schlei,Cruise,1
Schleicher,Approach,25
Schleicher,Climb,3
Schleicher,Cruise,10
Schleicher,Descent,3
Schleicher,Landing,11
Schleicher,Maneuvering,14
Schleicher,Takeoff,26
Schleicher,Unknown,9
Schleicher Alexander Gmbh,Descent,1
Schlitter,Cruise,1
Schlitter,Landing,1
Schlitter,Takeoff,1
Schlitter Randy J,Maneuvering,1
Schmahl,Maneuvering,1
Schmanski,Landing,1
Schmidt,Climb,1
Schmidt,Go-around,1
Schmidt,Landing,3
Schmidt,Takeoff,1
Schmitt (rotorway),Takeoff,1
"Schneider, Edmund, Pty.",Takeoff,1
